date,killed,wounded,lat,lng
1/6/2016,3,1,28.0394654,-81.9498042
1/7/2016,1,3,35.1495343,-90.0489801
1/8/2016,1,4,41.8584847,-87.7138636
1/8/2016,0,4,38.9071923,-77.0368707
1/11/2016,1,4,39.7390721,-75.5397878
1/17/2016,1,3,37.4026397,-76.4585592
1/19/2016,0,4,41.8251047,-87.6176022
1/21/2016,2,2,35.2873206,-95.5824846
1/23/2016,3,1,30.7541808,-86.5727995
1/23/2016,2,2,30.8034081,-89.6251646
1/23/2016,2,2,34.0522342,-118.2436849
1/25/2016,1,4,33.7825194,-117.2286478
1/26/2016,2,3,47.6062095,-122.3320708
1/27/2016,6,0,36.7682088,-76.2874927
1/29/2016,2,2,38.0445557,-77.2864879
1/30/2016,3,5,33.5386523,-112.1859866
1/30/2016,1,3,39.7392358,-104.990251
1/31/2016,0,4,29.9510658,-90.0715323
2/3/2016,0,4,38.9071923,-77.0368707
2/6/2016,2,6,27.950575,-82.4571776
2/6/2016,1,3,34.0522342,-118.2436849
2/6/2016,0,4,28.6934076,-81.5322149
2/6/2016,4,0,29.2096836,-99.7861679
2/7/2016,1,7,43.16103,-77.6109219
2/7/2016,2,10,28.5383355,-81.3792365
2/7/2016,2,4,30.3157527,-89.2475429
2/7/2016,0,4,41.775305,-87.6416419
2/9/2016,0,4,43.2011264,-86.2389464
2/11/2016,1,3,31.6976531,-83.634843
2/12/2016,2,2,45.0105194,-93.4555093
2/13/2016,0,4,29.8993723,-90.1003506
2/14/2016,1,4,29.7604267,-95.3698028
2/14/2016,0,4,29.7604267,-95.3698028
2/14/2016,0,5,32.8406848,-87.8875145
2/18/2016,3,1,40.7188354,-111.8882691
2/19/2016,4,0,39.5049976,-94.6332896
2/19/2016,2,2,38.1040864,-122.2566367
2/19/2016,2,3,34.8117565,-88.1900415
2/20/2016,1,3,27.950575,-82.4571776
2/20/2016,1,3,33.4017766,-86.954437
2/20/2016,0,4,28.5383355,-81.3792365
2/21/2016,6,2,42.2917069,-85.5872286
2/21/2016,1,3,38.7714396,-90.3709489
2/21/2016,0,5,29.7604267,-95.3698028
2/23/2016,5,0,33.5386523,-112.1859866
2/23/2016,0,4,29.2108147,-81.0228331
2/24/2016,0,4,33.7489954,-84.3879824
2/24/2016,2,2,39.4060536,-105.4786412
2/25/2016,4,14,38.1383437,-97.4314267
2/25/2016,5,0,47.4514588,-122.826946
2/27/2016,2,2,38.6581722,-77.2497049
2/28/2016,0,5,42.331427,-83.0457538
2/28/2016,1,3,33.9971974,-117.4854802
3/4/2016,1,3,39.9611755,-82.9987942
3/5/2016,0,4,37.6871761,-97.330053
3/6/2016,1,8,33.8958492,-118.2200712
3/6/2016,1,6,42.3917638,-71.0328284
3/6/2016,0,4,34.0232431,-84.3615555
3/7/2016,0,4,30.2240897,-92.0198427
3/7/2016,5,0,39.114053,-94.6274636
3/8/2016,2,3,29.4241219,-98.4936282
3/9/2016,6,3,40.4417355,-79.8819942
3/11/2016,0,5,40.2170534,-74.7429384
3/11/2016,2,2,42.331427,-83.0457538
3/12/2016,0,4,37.8043637,-122.2711137
3/12/2016,1,3,33.9137085,-98.4933873
3/12/2016,2,2,34.1112226,-82.8670839
3/12/2016,0,4,45.5230622,-122.6764815
3/13/2016,0,4,26.640628,-81.8723084
3/14/2016,1,3,41.8818576,-87.7024817
3/15/2016,0,5,33.7489954,-84.3879824
3/17/2016,2,2,29.7604267,-95.3698028
3/19/2016,2,2,32.5437448,-86.2119127
3/20/2016,1,4,26.1133222,-80.2547408
3/20/2016,4,0,38.2526647,-85.7584557
3/21/2016,0,4,41.8929529,-87.7615618
3/21/2016,4,0,33.6356618,-96.6088805
3/22/2016,0,4,36.5707838,-119.6120765
3/25/2016,2,2,35.2423023,-87.3347389
3/25/2016,0,4,41.8818576,-87.7024817
3/26/2016,0,4,39.7392358,-104.990251
3/31/2016,2,2,37.5407246,-77.4360481
3/31/2016,0,4,41.775305,-87.6416419
4/1/2016,3,1,35.0853336,-106.6055534
4/5/2016,2,2,29.9012437,-81.3124341
4/6/2016,1,3,28.3861159,-80.7419984
4/7/2016,0,5,41.7600005,-87.5741877
4/9/2016,0,4,35.0853336,-106.6055534
4/9/2016,0,4,35.1495343,-90.0489801
4/9/2016,0,4,33.6598257,-85.8316318
4/10/2016,1,3,43.0389025,-87.9064736
4/10/2016,0,4,34.0522342,-118.2436849
4/11/2016,4,0,41.3911653,-74.3118212
4/14/2016,1,3,40.7706187,-74.2326478
4/16/2016,0,4,31.3151708,-85.8552161
4/16/2016,2,4,28.5383355,-81.3792365
4/16/2016,1,4,42.331427,-83.0457538
