date,killed,wounded,lat,lng
6/7/2014,1,4,33.1960027,-80.0131374
6/6/2014,1,3,42.4594803,-83.1827051
6/8/2014,5,0,36.1699412,-115.1398296
6/8/2014,5,0,26.4673016,-81.8014742
6/8/2014,1,4,31.2826685,-86.2555067
6/9/2014,3,2,41.8781136,-87.6297982
6/9/2014,0,6,40.9167654,-74.171811
6/13/2014,3,1,34.0522342,-118.2436849
6/15/2014,0,4,40.486427,-86.1336033
6/15/2014,0,4,41.4914236,-87.6744891
6/20/2014,0,4,38.8962231,-76.9066399
6/21/2014,0,5,35.1495343,-90.0489801
6/22/2014,1,3,38.5471327,-122.8163802
6/24/2014,2,7,25.7616798,-80.1917902
6/25/2014,0,5,42.6334247,-71.3161718
6/26/2014,2,2,42.331427,-83.0457538
6/26/2014,0,5,43.0389025,-87.9064736
6/28/2014,0,7,38.0049214,-121.805789
6/29/2014,1,4,34.0522342,-118.2436849
6/29/2014,1,8,29.9510658,-90.0715323
6/29/2014,1,3,32.715738,-117.1610838
6/30/2014,1,3,38.0405837,-84.5037164
7/2/2014,0,5,39.8517618,-75.4024228
7/5/2014,1,4,45.5230622,-122.6764815
7/5/2014,0,7,36.8507689,-76.2858726
7/5/2014,0,4,29.7604267,-95.3698028
7/5/2014,0,7,39.8686846,-86.1340693
7/5/2014,0,5,38.5833842,-90.125109
7/6/2014,2,2,30.7910204,-89.8486858
7/6/2014,0,4,38.6270025,-90.1994042
7/6/2014,0,4,42.8864468,-78.8783689
7/7/2014,0,4,37.5159411,-82.09124
7/7/2014,2,2,25.7616798,-80.1917902
7/8/2014,1,4,34.1083449,-117.2897652
7/8/2014,0,5,41.8239891,-71.4128343
7/9/2014,6,1,29.7604267,-95.3698028
7/12/2014,3,2,34.1477849,-118.1445155
7/13/2014,1,4,38.5815719,-121.4943996
7/13/2014,0,5,47.4924182,-122.2391064
7/13/2014,0,5,41.0534302,-73.5387341
7/19/2014,1,4,41.8781136,-87.6297982
7/20/2014,1,3,38.6350501,-90.0928852
7/20/2014,1,3,36.1699412,-115.1398296
7/20/2014,0,6,40.7263249,-74.2286435
7/20/2014,1,3,38.6270025,-90.1994042
7/21/2014,0,4,35.1495343,-90.0489801
7/22/2014,3,1,33.9424658,-117.2296717
7/23/2014,0,4,40.4406248,-79.9958864
7/25/2014,1,6,41.8781136,-87.6297982
7/26/2014,1,3,34.2284312,-92.0031955
7/26/2014,0,7,31.5307349,-83.8354542
7/27/2014,0,4,42.2917069,-85.5872286
7/27/2014,5,0,43.5009176,-70.4428286
7/28/2014,1,4,39.9525839,-75.1652215
7/28/2014,1,3,40.7127837,-74.0059413
7/31/2014,3,3,35.0526641,-78.8783585
8/1/2014,1,3,39.9525839,-75.1652215
8/2/2014,3,1,32.7766642,-96.7969879
8/2/2014,1,5,40.4406248,-79.9958864
8/2/2014,0,7,41.6362152,-70.934205
8/2/2014,0,4,39.5717796,-75.4671423
8/2/2014,1,3,42.5083482,-89.0317765
8/3/2014,5,0,38.4729632,-77.9962512
8/3/2014,0,6,29.7604267,-95.3698028
8/3/2014,0,5,38.6270025,-90.1994042
8/3/2014,0,4,35.6150716,-87.0352831
8/4/2014,0,5,33.7489954,-84.3879824
8/5/2014,3,1,35.0526641,-78.8783585
8/6/2014,3,1,35.3732921,-119.0187125
8/6/2014,0,4,41.8781136,-87.6297982
8/7/2014,1,3,37.6871761,-97.330053
8/7/2014,0,4,41.4245072,-80.3897135
8/8/2014,1,3,35.0853336,-106.6055534
8/8/2014,0,4,43.0389025,-87.9064736
8/8/2014,0,4,38.9071923,-77.0368707
8/8/2014,0,4,29.5957696,-90.7195348
8/9/2014,0,9,44.977753,-93.2650108
8/9/2014,0,4,39.9611755,-82.9987942
8/9/2014,0,4,39.9525839,-75.1652215
8/10/2014,2,5,29.9510658,-90.0715323
8/10/2014,0,6,32.7293279,-82.719859
8/10/2014,0,7,33.9424658,-117.2296717
8/10/2014,0,6,38.9071923,-77.0368707
8/12/2014,1,3,42.8864468,-78.8783689
8/12/2014,3,4,34.1650972,-84.7999382
8/13/2014,1,5,35.1495343,-90.0489801
8/13/2014,0,4,29.9510658,-90.0715323
8/14/2014,1,3,41.4883685,-87.5675414
8/15/2014,2,2,35.9606384,-83.9207392
8/16/2014,2,2,38.8040027,-76.9066396
8/16/2014,1,3,40.6337136,-74.4073736
8/16/2014,0,6,40.7607793,-111.8910474
8/17/2014,0,4,36.1699412,-115.1398296
8/17/2014,0,4,40.7282239,-73.7948516
8/17/2014,0,4,42.3600825,-71.0588801
8/17/2014,1,4,37.4418834,-122.1430195
8/20/2014,0,5,35.203847,-90.0466559
8/24/2014,1,3,41.8781136,-87.6297982
8/25/2014,2,4,34.1825782,-118.4396756
8/25/2014,0,4,41.8781136,-87.6297982
8/26/2014,4,0,36.1539816,-95.992775
8/27/2014,1,3,42.331427,-83.0457538
8/30/2014,4,0,41.8994744,-87.9403418
8/30/2014,3,1,28.5552719,-82.3878709
8/31/2014,0,5,37.6818745,-121.7680088
8/31/2014,2,2,33.5206608,-86.80249
9/1/2014,2,2,36.0726354,-79.7919754
9/1/2014,1,3,40.6781784,-73.9441579
9/1/2014,4,1,35.612661,-77.3663538
9/2/2014,3,2,39.114053,-94.6274636
9/2/2014,0,5,34.1283442,-117.2086513
9/2/2014,2,3,32.2987573,-90.1848103
