date,killed,wounded,lat,lng
1/1/2013,1,3,33.9164032,-118.3525748
1/1/2013,1,4,41.452819,-82.1823746
1/1/2013,0,4,40.3470671,-79.8641232
1/1/2013,2,3,38.5815719,-121.4943996
1/5/2013,4,0,39.7294319,-104.8319195
1/7/2013,4,0,36.1539816,-95.992775
1/7/2013,2,2,36.0726354,-79.7919754
1/7/2013,3,1,37.0769043,-77.6536125
1/10/2013,3,2,29.9510658,-90.0715323
1/19/2013,5,0,35.0853336,-106.6055534
1/21/2013,0,5,29.9510658,-90.0715323
1/21/2013,0,4,37.931868,-121.6957863
1/25/2013,1,3,38.6270025,-90.1994042
1/26/2013,1,3,39.9242266,-83.8088171
1/26/2013,0,5,38.9071923,-77.0368707
1/27/2013,1,3,29.8815936,-91.5251126
1/30/2013,3,1,33.4483771,-112.0740373
2/1/2013,1,3,37.8043637,-122.2711137
2/2/2013,0,5,35.1495343,-90.0489801
2/3/2013,2,2,35.1495343,-90.0489801
2/3/2013,1,3,39.0954484,-121.5521858
2/6/2013,3,1,39.7392358,-104.990251
2/7/2013,0,4,41.8781136,-87.6297982
2/9/2013,0,4,29.9510658,-90.0715323
2/11/2013,1,4,38.1040864,-122.2566367
2/11/2013,3,2,39.7390721,-75.5397878
2/12/2013,3,1,40.6110589,-111.8999353
2/16/2013,1,3,36.0998596,-80.244216
2/19/2013,4,3,33.7420005,-117.8236391
2/21/2013,2,2,25.7616798,-80.1917902
2/21/2013,1,3,36.1539816,-95.992775
2/22/2013,0,4,42.9633599,-85.6680863
2/23/2013,0,4,34.6867846,-118.1541632
2/24/2013,0,8,32.8406946,-83.6324022
3/2/2013,1,3,32.5251516,-93.7501789
3/3/2013,2,2,31.1799407,-83.7888387
3/3/2013,0,6,29.7604267,-95.3698028
3/4/2013,0,4,43.4508281,-83.8863428
3/4/2013,1,3,37.0582786,-120.8499151
3/5/2013,1,3,39.768403,-86.158068
3/5/2013,0,4,35.5843235,-78.8000128
3/7/2013,2,2,32.2987573,-90.1848103
3/8/2013,1,3,42.8864468,-78.8783689
3/10/2013,0,5,39.0997265,-94.5785667
3/11/2013,1,3,41.739482,-91.6080974
3/11/2013,0,13,38.9071923,-77.0368707
3/13/2013,2,2,33.1958696,-117.3794834
3/13/2013,5,2,43.0256259,-74.9859889
3/14/2013,0,4,37.6390972,-120.9968782
3/14/2013,4,0,32.7667955,-96.5991593
3/16/2013,0,7,38.2546373,-121.2999485
3/17/2013,2,4,37.9577016,-121.2907796
3/17/2013,0,5,26.6845104,-80.6675577
3/20/2013,3,1,33.4914122,-86.9824288
3/21/2013,0,7,41.8781136,-87.6297982
3/21/2013,1,4,39.0997265,-94.5785667
3/22/2013,1,3,40.7127837,-74.0059413
3/26/2013,0,4,27.7518284,-82.6267345
3/31/2013,3,1,47.3073228,-122.2284532
3/31/2013,2,3,37.2009788,-120.7120023
4/2/2013,4,1,18.4655394,-66.1057355
4/6/2013,1,4,34.1954001,-82.1617883
4/7/2013,1,3,39.1836082,-96.5716694
4/7/2013,1,3,33.7700504,-118.1937395
4/9/2013,1,3,39.9525839,-75.1652215
4/10/2013,0,4,38.1040864,-122.2566367
4/13/2013,0,5,36.8507689,-76.2858726
4/14/2013,1,4,38.0405837,-84.5037164
4/14/2013,2,4,33.4483771,-112.0740373
4/18/2013,4,0,41.0814447,-81.5190053
4/18/2013,2,2,42.3600825,-71.0588801
4/20/2013,2,2,37.5407246,-77.4360481
4/22/2013,5,2,47.3223221,-122.3126222
4/22/2013,0,4,41.775305,-87.6416419
4/22/2013,0,5,29.9035387,-90.0772944
4/24/2013,6,1,39.5422692,-90.3323434
4/25/2013,0,4,41.2939386,-82.2173786
4/27/2013,1,4,29.38747,-82.4467705
4/28/2013,0,4,26.1664736,-80.2083806
4/28/2013,4,0,38.615768,-95.2686366
4/28/2013,0,5,35.2270869,-80.8431267
4/28/2013,1,3,39.849557,-75.3557457
4/28/2013,2,2,35.6145169,-88.8139469
5/2/2013,0,5,40.735657,-74.1723667
5/4/2013,0,4,35.5084935,-78.3394455
5/4/2013,4,6,18.2568989,-66.1029442
5/5/2013,0,6,37.4688273,-122.1410751
5/5/2013,1,3,37.8043637,-122.2711137
5/6/2013,0,4,40.3267407,-78.9219698
5/8/2013,4,0,35.3187279,-82.4609528
5/10/2013,3,1,34.0522342,-118.2436849
