date,killed,wounded,lat,lng
1/1/2015,0,5,35.1495343,-90.0489801
1/2/2015,1,4,32.0835407,-81.0998342
1/4/2015,3,1,32.7766642,-96.7969879
1/4/2015,2,4,37.2709704,-79.9414266
1/6/2015,1,3,25.7616798,-80.1917902
1/7/2015,1,3,35.0456297,-85.3096801
1/8/2015,1,3,42.3600825,-71.0588801
1/9/2015,4,0,37.7749295,-122.4194155
1/10/2015,3,1,46.7323875,-117.000165
1/11/2015,0,5,37.3382082,-121.8863286
1/11/2015,2,5,34.9704419,-78.9453056
1/11/2015,1,3,28.0394654,-81.9498042
1/11/2015,0,5,32.430237,-85.7077266
1/10/2015,2,2,37.6871761,-97.330053
1/13/2015,0,5,36.8354258,-76.2982742
1/14/2015,2,2,42.2711311,-89.0939952
1/19/2015,2,5,29.4241219,-98.4936282
1/20/2015,1,3,36.5297706,-87.3594528
1/23/2015,0,6,42.3600825,-71.0588801
1/24/2015,3,5,41.2523634,-95.9979883
1/24/2015,4,1,40.7282239,-73.7948516
1/26/2015,1,4,37.9577016,-121.2907796
1/28/2015,1,3,33.7956441,-84.2278796
1/29/2015,4,0,33.0698575,-85.023346
2/1/2015,0,6,43.0481221,-76.1474244
2/1/2015,1,4,40.7830603,-73.9712488
2/4/2015,4,0,36.2806939,-80.3592197
2/5/2015,3,3,41.4323067,-81.5102655
2/6/2015,1,3,36.1539816,-95.992775
2/7/2015,5,2,33.7514966,-84.7477136
2/8/2015,0,6,35.7812386,-89.1324866
2/9/2015,3,1,28.2441768,-82.7192671
2/15/2015,0,5,33.7700504,-118.1937395
2/17/2015,1,3,34.7464809,-92.2895948
2/22/2015,3,2,34.6478893,-83.5496566
2/22/2015,0,4,32.7764749,-79.9310512
2/22/2015,4,1,31.1171194,-97.7277959
2/25/2015,3,2,29.7604267,-95.3698028
2/27/2015,8,1,37.2003245,-91.8699049
2/28/2015,1,3,39.2903848,-76.6121893
2/28/2015,4,0,35.8968236,-77.5358049
2/28/2015,3,1,38.9517053,-92.3340724
3/1/2015,0,4,28.4558386,-81.4459047
3/1/2015,1,5,42.331427,-83.0457538
3/3/2015,3,1,36.1699412,-115.1398296
3/4/2015,2,5,34.1083449,-117.2897652
3/9/2015,1,3,41.8781136,-87.6297982
3/10/2015,0,5,32.4609764,-84.9877094
3/11/2015,0,4,41.7605849,-88.3200715
3/13/2015,2,3,31.5790588,-90.4406506
3/14/2015,0,5,33.7489954,-84.3879824
3/15/2015,0,4,35.399327,-78.8158528
3/15/2015,3,1,31.1318686,-85.3136218
3/16/2015,0,4,33.8958492,-118.2200712
3/17/2015,3,4,37.9577016,-121.2907796
3/18/2015,1,5,33.4151843,-111.8314724
3/18/2015,1,3,40.735657,-74.1723667
3/19/2015,2,2,36.0672173,-109.1880047
3/20/2015,0,4,33.4956744,-88.4272627
3/20/2015,0,4,35.4675602,-97.5164276
3/20/2015,0,4,41.525031,-88.0817251
3/20/2015,1,3,32.5920798,-96.7561082
3/21/2015,0,4,27.9650212,-82.4350941
3/21/2015,0,5,26.6253497,-81.6248026
3/22/2015,1,6,35.0853336,-106.6055534
3/23/2015,1,4,36.5297706,-87.3594528
3/24/2015,4,0,39.768403,-86.158068
3/26/2015,0,4,35.2219971,-101.8312969
3/28/2015,0,7,30.1765914,-85.8054879
3/29/2015,0,4,37.9577016,-121.2907796
3/30/2015,4,0,36.1539816,-95.992775
4/2/2015,0,5,39.2903848,-76.6121893
4/3/2015,0,4,29.2108147,-81.0228331
4/5/2015,1,4,38.2526647,-85.7584557
4/5/2015,0,5,39.768403,-86.158068
4/7/2015,1,3,34.257038,-85.1646726
4/16/2015,5,0,33.4483771,-112.0740373
4/16/2015,1,4,34.0522342,-118.2436849
4/18/2015,1,3,40.9167654,-74.171811
4/18/2015,0,4,35.2270869,-80.8431267
4/18/2015,1,3,34.6182199,-79.0086424
4/18/2015,0,5,41.2411897,-77.0010786
4/18/2015,0,5,32.3668052,-86.2999689
4/19/2015,0,4,37.5407246,-77.4360481
4/21/2015,2,3,31.1171194,-97.7277959
4/25/2015,0,4,40.2170534,-74.7429384
4/25/2015,1,6,43.1480944,-77.7223162
4/27/2015,2,4,40.6781784,-73.9441579
4/27/2015,2,2,32.9478236,-112.7168305
5/1/2015,2,3,43.0389025,-87.9064736
5/3/2015,4,1,44.2022084,-88.4464973
5/3/2015,0,4,41.6763545,-86.2519898
5/3/2015,0,6,29.7604267,-95.3698028
