flattery, 0.107254454861
tis, 0.10517511204
whether, 0.0901397096616
first, 0.0675152471462
eye, 0.0658835579404
mind, 0.0630134803117
saith, 0.0621846000298
resemble, 0.0621846000298
monsters, 0.0621846000298
monarch, 0.0621846000298
lesser, 0.0621846000298
kingly, 0.0621846000298
indigest, 0.0621846000298
gust, 0.0621846000298
greeing, 0.0621846000298
drinks, 0.0621846000298
cup, 0.0621846000298
creating, 0.0621846000298
cherubins, 0.0621846000298
begin, 0.0621846000298
beams, 0.0621846000298
assemble, 0.0621846000298
up, 0.0575037629953
prepare, 0.0536272274303
poison, 0.0536272274303
palate, 0.0536272274303
objects, 0.0536272274303
drink, 0.0536272274303
alchemy, 0.0536272274303
mine, 0.0508663317142
plague, 0.0486214853549
perfect, 0.0486214853549
it, 0.0473785263461
fast, 0.0450698548308
crown, 0.0450698548308
doth, 0.0402114401419
taught, 0.0400641127554
sin, 0.0400641127554
seeing, 0.0400641127554
bad, 0.0400641127554
your, 0.0395793925414
loves, 0.0381610179427
his, 0.0374667004325
knows, 0.0337576235731
great, 0.0337576235731
things, 0.0296036453432
or, 0.0287839899137
as, 0.0271439818226
best, 0.0258335015216
most, 0.0234747948949
well, 0.0229493675564
say, 0.0224453923154
every, 0.0224453923154
being, 0.0214952560051
such, 0.0206130465732
self, 0.0206130465732
true, 0.0197896962707
this, 0.0187725057629
you, 0.0186492849111
shall, 0.0186492849111
make, 0.0182914140855
sweet, 0.0146519135889
if, 0.0141374358556
what, 0.0138880197159
o, 0.0138880197159
with, 0.0111601265122
my, 0.0101769876895
d, 0.0089907103198
be, 0.00839807130524
love, 0.00676933620594
the, 0.00650260859137
is, 0.00583462235736
s, 0.00570668671494
a, 0.00570668671494
that, 0.00399395751142
i, 0.00360519103766
and, 0.00245310670676
to, 0.00197577706316
of, 0.00171744200571
in, 0.00117666888647
, 0.0
